,greatersydney_x,rings_x,lga,dwellingtype_x,sales_price_median,sales_price_mean,sales_no,date,greatersydney_y,rings_y,dwellingtype_y,wrent_median,new_bonds_no,total_bonds_held,dwellingtype_g
0,Greater Sydney,Inner Ring,Inner West,Non Strata,1560.0,1658.0,265.0,2018-03-31,Greater Sydney,Inner Ring,House,780.0,779.0,5504.0,Non Strata
1,Greater Sydney,Inner Ring,Inner West,Strata,770.0,845.0,236.0,2018-03-31,Greater Sydney,Inner Ring,Other,497.5,240.0,5135.0,Strata
2,Greater Sydney,Inner Ring,Inner West,Strata,770.0,845.0,236.0,2018-03-31,Greater Sydney,Inner Ring,Townhouse,750.0,231.0,2672.0,Strata
3,Greater Sydney,Inner Ring,Inner West,Strata,770.0,845.0,236.0,2018-03-31,Greater Sydney,Inner Ring,Flat/Unit,515.0,1701.0,16217.0,Strata
4,Greater Sydney,Inner Ring,Lane Cove,Non Strata,2704.0,3086.0,60.0,2018-03-31,Greater Sydney,Inner Ring,House,975.0,95.0,658.0,Non Strata
5,Greater Sydney,Inner Ring,Lane Cove,Strata,818.0,864.0,96.0,2018-03-31,Greater Sydney,Inner Ring,Other,597.5,20.0,277.0,Strata
6,Greater Sydney,Inner Ring,Lane Cove,Strata,818.0,864.0,96.0,2018-03-31,Greater Sydney,Inner Ring,Townhouse,695.0,20.0,342.0,Strata
7,Greater Sydney,Inner Ring,Lane Cove,Strata,818.0,864.0,96.0,2018-03-31,Greater Sydney,Inner Ring,Flat/Unit,570.0,413.0,3254.0,Strata
8,Greater Sydney,Inner Ring,Mosman,Non Strata,3415.0,3927.0,38.0,2018-03-31,Greater Sydney,Inner Ring,House,1775.0,68.0,450.0,Non Strata
9,Greater Sydney,Inner Ring,Mosman,Strata,1040.0,1369.0,71.0,2018-03-31,Greater Sydney,Inner Ring,Other,567.5,20.0,353.0,Strata
10,Greater Sydney,Inner Ring,Mosman,Strata,1040.0,1369.0,71.0,2018-03-31,Greater Sydney,Inner Ring,Townhouse,1200.0,20.0,205.0,Strata
11,Greater Sydney,Inner Ring,Mosman,Strata,1040.0,1369.0,71.0,2018-03-31,Greater Sydney,Inner Ring,Flat/Unit,627.5,266.0,2845.0,Strata
12,Greater Sydney,Inner Ring,North Sydney,Non Strata,2600.0,2628.0,49.0,2018-03-31,Greater Sydney,Inner Ring,House,1100.0,89.0,702.0,Non Strata
13,Greater Sydney,Inner Ring,North Sydney,Strata,1095.0,1195.0,252.0,2018-03-31,Greater Sydney,Inner Ring,Other,582.5,66.0,1331.0,Strata
14,Greater Sydney,Inner Ring,North Sydney,Strata,1095.0,1195.0,252.0,2018-03-31,Greater Sydney,Inner Ring,Townhouse,950.0,83.0,911.0,Strata
15,Greater Sydney,Inner Ring,North Sydney,Strata,1095.0,1195.0,252.0,2018-03-31,Greater Sydney,Inner Ring,Flat/Unit,640.0,1463.0,12620.0,Strata
16,Greater Sydney,Inner Ring,Randwick,Non Strata,2250.0,2288.0,129.0,2018-03-31,Greater Sydney,Inner Ring,House,1000.0,261.0,1948.0,Non Strata
17,Greater Sydney,Inner Ring,Randwick,Strata,946.0,1037.0,213.0,2018-03-31,Greater Sydney,Inner Ring,Other,500.0,120.0,2532.0,Strata
18,Greater Sydney,Inner Ring,Randwick,Strata,946.0,1037.0,213.0,2018-03-31,Greater Sydney,Inner Ring,Townhouse,850.0,91.0,1173.0,Strata
19,Greater Sydney,Inner Ring,Randwick,Strata,946.0,1037.0,213.0,2018-03-31,Greater Sydney,Inner Ring,Flat/Unit,630.0,1613.0,14445.0,Strata
20,Greater Sydney,Inner Ring,Sydney,Non Strata,1658.0,1887.0,132.0,2018-03-31,Greater Sydney,Inner Ring,House,810.0,506.0,2493.0,Non Strata
21,Greater Sydney,Inner Ring,Sydney,Strata,900.0,998.0,692.0,2018-03-31,Greater Sydney,Inner Ring,Other,469.0,1350.0,9605.0,Strata
22,Greater Sydney,Inner Ring,Sydney,Strata,900.0,998.0,692.0,2018-03-31,Greater Sydney,Inner Ring,Townhouse,795.0,308.0,4009.0,Strata
23,Greater Sydney,Inner Ring,Sydney,Strata,900.0,998.0,692.0,2018-03-31,Greater Sydney,Inner Ring,Flat/Unit,650.0,5077.0,38275.0,Strata
24,Greater Sydney,Inner Ring,Waverley,Non Strata,2828.0,2931.0,90.0,2018-03-31,Greater Sydney,Inner Ring,House,1300.0,141.0,902.0,Non Strata
25,Greater Sydney,Inner Ring,Waverley,Strata,1213.0,1285.0,160.0,2018-03-31,Greater Sydney,Inner Ring,Other,700.0,43.0,1792.0,Strata
26,Greater Sydney,Inner Ring,Waverley,Strata,1213.0,1285.0,160.0,2018-03-31,Greater Sydney,Inner Ring,Townhouse,1100.0,51.0,628.0,Strata
27,Greater Sydney,Inner Ring,Waverley,Strata,1213.0,1285.0,160.0,2018-03-31,Greater Sydney,Inner Ring,Flat/Unit,720.0,920.0,10059.0,Strata
28,Greater Sydney,Inner Ring,Woollahra,Non Strata,3650.0,4055.0,85.0,2018-03-31,Greater Sydney,Inner Ring,House,1450.0,147.0,783.0,Non Strata
29,Greater Sydney,Inner Ring,Woollahra,Strata,1500.0,1670.0,133.0,2018-03-31,Greater Sydney,Inner Ring,Other,675.0,35.0,1315.0,Strata
30,Greater Sydney,Inner Ring,Woollahra,Strata,1500.0,1670.0,133.0,2018-03-31,Greater Sydney,Inner Ring,Townhouse,1150.0,79.0,802.0,Strata
31,Greater Sydney,Inner Ring,Woollahra,Strata,1500.0,1670.0,133.0,2018-03-31,Greater Sydney,Inner Ring,Flat/Unit,700.0,554.0,5524.0,Strata
32,Greater Sydney,Middle Ring,Bayside,Non Strata,1303.0,1349.0,152.0,2018-03-31,Greater Sydney,Middle Ring,House,650.0,251.0,3055.0,Non Strata
33,Greater Sydney,Middle Ring,Bayside,Strata,720.0,748.0,343.0,2018-03-31,Greater Sydney,Middle Ring,Other,565.0,98.0,2453.0,Strata
34,Greater Sydney,Middle Ring,Bayside,Strata,720.0,748.0,343.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,650.0,101.0,1173.0,Strata
35,Greater Sydney,Middle Ring,Bayside,Strata,720.0,748.0,343.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,585.0,1724.0,14058.0,Strata
36,Greater Sydney,Middle Ring,Burwood,Non Strata,1665.0,1812.0,20.0,2018-03-31,Greater Sydney,Middle Ring,House,690.0,70.0,559.0,Non Strata
37,Greater Sydney,Middle Ring,Burwood,Strata,763.0,823.0,42.0,2018-03-31,Greater Sydney,Middle Ring,Other,500.0,68.0,935.0,Strata
38,Greater Sydney,Middle Ring,Burwood,Strata,763.0,823.0,42.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,640.0,20.0,206.0,Strata
39,Greater Sydney,Middle Ring,Burwood,Strata,763.0,823.0,42.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,560.0,380.0,2589.0,Strata
40,Greater Sydney,Middle Ring,Canada Bay,Non Strata,2155.0,2218.0,77.0,2018-03-31,Greater Sydney,Middle Ring,House,750.0,186.0,1518.0,Non Strata
41,Greater Sydney,Middle Ring,Canada Bay,Strata,885.0,969.0,163.0,2018-03-31,Greater Sydney,Middle Ring,Other,555.0,60.0,1014.0,Strata
42,Greater Sydney,Middle Ring,Canada Bay,Strata,885.0,969.0,163.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,695.0,64.0,917.0,Strata
43,Greater Sydney,Middle Ring,Canada Bay,Strata,885.0,969.0,163.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,630.0,982.0,7569.0,Strata
44,Greater Sydney,Middle Ring,Canterbury-Bankstown,Non Strata,990.0,1046.0,464.0,2018-03-31,Greater Sydney,Middle Ring,House,560.0,749.0,8100.0,Non Strata
45,Greater Sydney,Middle Ring,Canterbury-Bankstown,Strata,585.0,592.0,382.0,2018-03-31,Greater Sydney,Middle Ring,Other,472.5,296.0,5701.0,Strata
46,Greater Sydney,Middle Ring,Canterbury-Bankstown,Strata,585.0,592.0,382.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,600.0,240.0,3093.0,Strata
47,Greater Sydney,Middle Ring,Canterbury-Bankstown,Strata,585.0,592.0,382.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,430.0,1464.0,13943.0,Strata
48,Greater Sydney,Middle Ring,Cumberland,Non Strata,880.0,920.0,229.0,2018-03-31,Greater Sydney,Middle Ring,House,500.0,576.0,6164.0,Non Strata
49,Greater Sydney,Middle Ring,Cumberland,Strata,580.0,577.0,286.0,2018-03-31,Greater Sydney,Middle Ring,Other,460.0,217.0,3379.0,Strata
50,Greater Sydney,Middle Ring,Cumberland,Strata,580.0,577.0,286.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,530.0,188.0,2378.0,Strata
51,Greater Sydney,Middle Ring,Cumberland,Strata,580.0,577.0,286.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,450.0,991.0,10489.0,Strata
52,Greater Sydney,Middle Ring,Georges River,Non Strata,1356.0,1405.0,145.0,2018-03-31,Greater Sydney,Middle Ring,House,600.0,326.0,2994.0,Non Strata
53,Greater Sydney,Middle Ring,Georges River,Strata,700.0,715.0,177.0,2018-03-31,Greater Sydney,Middle Ring,Other,500.0,87.0,2323.0,Strata
54,Greater Sydney,Middle Ring,Georges River,Strata,700.0,715.0,177.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,600.0,79.0,840.0,Strata
55,Greater Sydney,Middle Ring,Georges River,Strata,700.0,715.0,177.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,492.53,826.0,8113.0,Strata
56,Greater Sydney,Middle Ring,Hunters Hill,Non Strata,2900.0,2969.0,20.0,2018-03-31,Greater Sydney,Middle Ring,House,960.0,20.0,264.0,Non Strata
57,Greater Sydney,Middle Ring,Hunters Hill,Strata,1154.0,1188.0,20.0,2018-03-31,Greater Sydney,Middle Ring,Other,500.0,5.0,67.0,Strata
58,Greater Sydney,Middle Ring,Hunters Hill,Strata,1154.0,1188.0,20.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,630.0,5.0,68.0,Strata
59,Greater Sydney,Middle Ring,Hunters Hill,Strata,1154.0,1188.0,20.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,560.0,49.0,469.0,Strata
60,Greater Sydney,Middle Ring,Ku-Ring-Gai,Non Strata,2065.0,2266.0,243.0,2018-03-31,Greater Sydney,Middle Ring,House,1000.0,272.0,2405.0,Non Strata
61,Greater Sydney,Middle Ring,Ku-Ring-Gai,Strata,975.0,1064.0,131.0,2018-03-31,Greater Sydney,Middle Ring,Other,650.0,35.0,606.0,Strata
62,Greater Sydney,Middle Ring,Ku-Ring-Gai,Strata,975.0,1064.0,131.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,662.5,20.0,201.0,Strata
63,Greater Sydney,Middle Ring,Ku-Ring-Gai,Strata,975.0,1064.0,131.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,600.0,512.0,3628.0,Strata
64,Greater Sydney,Middle Ring,Parramatta,Non Strata,1240.0,1272.0,224.0,2018-03-31,Greater Sydney,Middle Ring,House,550.0,514.0,4777.0,Non Strata
65,Greater Sydney,Middle Ring,Parramatta,Strata,679.0,689.0,448.0,2018-03-31,Greater Sydney,Middle Ring,Other,470.0,235.0,3717.0,Strata
66,Greater Sydney,Middle Ring,Parramatta,Strata,679.0,689.0,448.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,560.0,304.0,2529.0,Strata
67,Greater Sydney,Middle Ring,Parramatta,Strata,679.0,689.0,448.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,500.0,2415.0,19349.0,Strata
68,Greater Sydney,Middle Ring,Ryde,Non Strata,1775.0,1851.0,105.0,2018-03-31,Greater Sydney,Middle Ring,House,670.0,271.0,2350.0,Non Strata
69,Greater Sydney,Middle Ring,Ryde,Strata,723.0,769.0,190.0,2018-03-31,Greater Sydney,Middle Ring,Other,520.0,97.0,1271.0,Strata
70,Greater Sydney,Middle Ring,Ryde,Strata,723.0,769.0,190.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,630.0,146.0,1358.0,Strata
71,Greater Sydney,Middle Ring,Ryde,Strata,723.0,769.0,190.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,500.0,1392.0,9195.0,Strata
72,Greater Sydney,Middle Ring,Strathfield,Non Strata,2520.0,2468.0,20.0,2018-03-31,Greater Sydney,Middle Ring,House,680.0,68.0,588.0,Non Strata
