,lga,sales_price_median,sales_price_mean,sales_no,date,greatersydney_y,rings_y,dwellingtype_y,wrent_median,new_bonds_no,total_bonds_held,dwellingtype_g
0,Inner West,1560.0,1658.0,265.0,2018-03-31,Greater Sydney,Inner Ring,House,780.0,779.0,5504.0,Non Strata
1,Inner West,770.0,845.0,236.0,2018-03-31,Greater Sydney,Inner Ring,Other,497.5,240.0,5135.0,Strata
2,Inner West,770.0,845.0,236.0,2018-03-31,Greater Sydney,Inner Ring,Townhouse,750.0,231.0,2672.0,Strata
3,Inner West,770.0,845.0,236.0,2018-03-31,Greater Sydney,Inner Ring,Flat/Unit,515.0,1701.0,16217.0,Strata
4,Lane Cove,2704.0,3086.0,60.0,2018-03-31,Greater Sydney,Inner Ring,House,975.0,95.0,658.0,Non Strata
5,Lane Cove,818.0,864.0,96.0,2018-03-31,Greater Sydney,Inner Ring,Other,597.5,20.0,277.0,Strata
6,Lane Cove,818.0,864.0,96.0,2018-03-31,Greater Sydney,Inner Ring,Townhouse,695.0,20.0,342.0,Strata
7,Lane Cove,818.0,864.0,96.0,2018-03-31,Greater Sydney,Inner Ring,Flat/Unit,570.0,413.0,3254.0,Strata
8,Mosman,3415.0,3927.0,38.0,2018-03-31,Greater Sydney,Inner Ring,House,1775.0,68.0,450.0,Non Strata
9,Mosman,1040.0,1369.0,71.0,2018-03-31,Greater Sydney,Inner Ring,Other,567.5,20.0,353.0,Strata
10,Mosman,1040.0,1369.0,71.0,2018-03-31,Greater Sydney,Inner Ring,Townhouse,1200.0,20.0,205.0,Strata
11,Mosman,1040.0,1369.0,71.0,2018-03-31,Greater Sydney,Inner Ring,Flat/Unit,627.5,266.0,2845.0,Strata
12,North Sydney,2600.0,2628.0,49.0,2018-03-31,Greater Sydney,Inner Ring,House,1100.0,89.0,702.0,Non Strata
13,North Sydney,1095.0,1195.0,252.0,2018-03-31,Greater Sydney,Inner Ring,Other,582.5,66.0,1331.0,Strata
14,North Sydney,1095.0,1195.0,252.0,2018-03-31,Greater Sydney,Inner Ring,Townhouse,950.0,83.0,911.0,Strata
15,North Sydney,1095.0,1195.0,252.0,2018-03-31,Greater Sydney,Inner Ring,Flat/Unit,640.0,1463.0,12620.0,Strata
16,Randwick,2250.0,2288.0,129.0,2018-03-31,Greater Sydney,Inner Ring,House,1000.0,261.0,1948.0,Non Strata
17,Randwick,946.0,1037.0,213.0,2018-03-31,Greater Sydney,Inner Ring,Other,500.0,120.0,2532.0,Strata
18,Randwick,946.0,1037.0,213.0,2018-03-31,Greater Sydney,Inner Ring,Townhouse,850.0,91.0,1173.0,Strata
19,Randwick,946.0,1037.0,213.0,2018-03-31,Greater Sydney,Inner Ring,Flat/Unit,630.0,1613.0,14445.0,Strata
20,Sydney,1658.0,1887.0,132.0,2018-03-31,Greater Sydney,Inner Ring,House,810.0,506.0,2493.0,Non Strata
21,Sydney,900.0,998.0,692.0,2018-03-31,Greater Sydney,Inner Ring,Other,469.0,1350.0,9605.0,Strata
22,Sydney,900.0,998.0,692.0,2018-03-31,Greater Sydney,Inner Ring,Townhouse,795.0,308.0,4009.0,Strata
23,Sydney,900.0,998.0,692.0,2018-03-31,Greater Sydney,Inner Ring,Flat/Unit,650.0,5077.0,38275.0,Strata
24,Waverley,2828.0,2931.0,90.0,2018-03-31,Greater Sydney,Inner Ring,House,1300.0,141.0,902.0,Non Strata
25,Waverley,1213.0,1285.0,160.0,2018-03-31,Greater Sydney,Inner Ring,Other,700.0,43.0,1792.0,Strata
26,Waverley,1213.0,1285.0,160.0,2018-03-31,Greater Sydney,Inner Ring,Townhouse,1100.0,51.0,628.0,Strata
27,Waverley,1213.0,1285.0,160.0,2018-03-31,Greater Sydney,Inner Ring,Flat/Unit,720.0,920.0,10059.0,Strata
28,Woollahra,3650.0,4055.0,85.0,2018-03-31,Greater Sydney,Inner Ring,House,1450.0,147.0,783.0,Non Strata
29,Woollahra,1500.0,1670.0,133.0,2018-03-31,Greater Sydney,Inner Ring,Other,675.0,35.0,1315.0,Strata
30,Woollahra,1500.0,1670.0,133.0,2018-03-31,Greater Sydney,Inner Ring,Townhouse,1150.0,79.0,802.0,Strata
31,Woollahra,1500.0,1670.0,133.0,2018-03-31,Greater Sydney,Inner Ring,Flat/Unit,700.0,554.0,5524.0,Strata
32,Bayside,1303.0,1349.0,152.0,2018-03-31,Greater Sydney,Middle Ring,House,650.0,251.0,3055.0,Non Strata
33,Bayside,720.0,748.0,343.0,2018-03-31,Greater Sydney,Middle Ring,Other,565.0,98.0,2453.0,Strata
34,Bayside,720.0,748.0,343.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,650.0,101.0,1173.0,Strata
35,Bayside,720.0,748.0,343.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,585.0,1724.0,14058.0,Strata
36,Burwood,1665.0,1812.0,20.0,2018-03-31,Greater Sydney,Middle Ring,House,690.0,70.0,559.0,Non Strata
37,Burwood,763.0,823.0,42.0,2018-03-31,Greater Sydney,Middle Ring,Other,500.0,68.0,935.0,Strata
38,Burwood,763.0,823.0,42.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,640.0,20.0,206.0,Strata
39,Burwood,763.0,823.0,42.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,560.0,380.0,2589.0,Strata
40,Canada Bay,2155.0,2218.0,77.0,2018-03-31,Greater Sydney,Middle Ring,House,750.0,186.0,1518.0,Non Strata
41,Canada Bay,885.0,969.0,163.0,2018-03-31,Greater Sydney,Middle Ring,Other,555.0,60.0,1014.0,Strata
42,Canada Bay,885.0,969.0,163.0,2018-03-31,Greater Sydney,Middle Ring,Townhouse,695.0,64.0,917.0,Strata
43,Canada Bay,885.0,969.0,163.0,2018-03-31,Greater Sydney,Middle Ring,Flat/Unit,630.0,982.0,7569.0,Strata
44,Canterbury-Bankstown,990.0,1046.0,464.0,2018-03-31,Greater Sydney,Middle Ring,House,560.0,749.0,8100.0,Non Strata
