,greatersydney,rings,lga,dwellingtype,sales_price_median,sales_price_mean,sales_no,date
800,Greater Sydney,Inner Ring,Inner West,Non Strata,1560.0,1658.0,265.0,2018-03-31
801,Greater Sydney,Inner Ring,Inner West,Strata,770.0,845.0,236.0,2018-03-31
803,Greater Sydney,Inner Ring,Lane Cove,Non Strata,2704.0,3086.0,60.0,2018-03-31
804,Greater Sydney,Inner Ring,Lane Cove,Strata,818.0,864.0,96.0,2018-03-31
806,Greater Sydney,Inner Ring,Mosman,Non Strata,3415.0,3927.0,38.0,2018-03-31
807,Greater Sydney,Inner Ring,Mosman,Strata,1040.0,1369.0,71.0,2018-03-31
809,Greater Sydney,Inner Ring,North Sydney,Non Strata,2600.0,2628.0,49.0,2018-03-31
810,Greater Sydney,Inner Ring,North Sydney,Strata,1095.0,1195.0,252.0,2018-03-31
812,Greater Sydney,Inner Ring,Randwick,Non Strata,2250.0,2288.0,129.0,2018-03-31
813,Greater Sydney,Inner Ring,Randwick,Strata,946.0,1037.0,213.0,2018-03-31
815,Greater Sydney,Inner Ring,Sydney,Non Strata,1658.0,1887.0,132.0,2018-03-31
816,Greater Sydney,Inner Ring,Sydney,Strata,900.0,998.0,692.0,2018-03-31
818,Greater Sydney,Inner Ring,Waverley,Non Strata,2828.0,2931.0,90.0,2018-03-31
819,Greater Sydney,Inner Ring,Waverley,Strata,1213.0,1285.0,160.0,2018-03-31
821,Greater Sydney,Inner Ring,Woollahra,Non Strata,3650.0,4055.0,85.0,2018-03-31
822,Greater Sydney,Inner Ring,Woollahra,Strata,1500.0,1670.0,133.0,2018-03-31
827,Greater Sydney,Middle Ring,Bayside,Non Strata,1303.0,1349.0,152.0,2018-03-31
828,Greater Sydney,Middle Ring,Bayside,Strata,720.0,748.0,343.0,2018-03-31
830,Greater Sydney,Middle Ring,Burwood,Non Strata,1665.0,1812.0,20.0,2018-03-31
831,Greater Sydney,Middle Ring,Burwood,Strata,763.0,823.0,42.0,2018-03-31
833,Greater Sydney,Middle Ring,Canada Bay,Non Strata,2155.0,2218.0,77.0,2018-03-31
834,Greater Sydney,Middle Ring,Canada Bay,Strata,885.0,969.0,163.0,2018-03-31
836,Greater Sydney,Middle Ring,Canterbury-Bankstown,Non Strata,990.0,1046.0,464.0,2018-03-31
837,Greater Sydney,Middle Ring,Canterbury-Bankstown,Strata,585.0,592.0,382.0,2018-03-31
839,Greater Sydney,Middle Ring,Cumberland,Non Strata,880.0,920.0,229.0,2018-03-31
840,Greater Sydney,Middle Ring,Cumberland,Strata,580.0,577.0,286.0,2018-03-31
842,Greater Sydney,Middle Ring,Georges River,Non Strata,1356.0,1405.0,145.0,2018-03-31
843,Greater Sydney,Middle Ring,Georges River,Strata,700.0,715.0,177.0,2018-03-31
845,Greater Sydney,Middle Ring,Hunters Hill,Non Strata,2900.0,2969.0,20.0,2018-03-31
846,Greater Sydney,Middle Ring,Hunters Hill,Strata,1154.0,1188.0,20.0,2018-03-31
848,Greater Sydney,Middle Ring,Ku-Ring-Gai,Non Strata,2065.0,2266.0,243.0,2018-03-31
849,Greater Sydney,Middle Ring,Ku-Ring-Gai,Strata,975.0,1064.0,131.0,2018-03-31
851,Greater Sydney,Middle Ring,Parramatta,Non Strata,1240.0,1272.0,224.0,2018-03-31
852,Greater Sydney,Middle Ring,Parramatta,Strata,679.0,689.0,448.0,2018-03-31
