,greatersydney,rings,lga,dwellingtype,bedrooms,wrent_median,new_bonds_no,total_bonds_held,date
9451,Greater Sydney,Inner Ring,Inner West,House,Total,780.0,779,5504,2018-03-31
9452,Greater Sydney,Inner Ring,Inner West,House,Bedsitter,,,s,2018-03-31
9453,Greater Sydney,Inner Ring,Inner West,House,1 Bedroom,520.0,57,245,2018-03-31
9454,Greater Sydney,Inner Ring,Inner West,House,Not Specified,,,317,2018-03-31
9455,Greater Sydney,Inner Ring,Inner West,House,2 Bedrooms,700.0,284,1812,2018-03-31
9456,Greater Sydney,Inner Ring,Inner West,House,3 Bedrooms,875.0,312,2228,2018-03-31
9457,Greater Sydney,Inner Ring,Inner West,House,4 or more Bedrooms,1112.5,110,876,2018-03-31
9458,Greater Sydney,Inner Ring,Inner West,Other,Total,497.5,240,5135,2018-03-31
9459,Greater Sydney,Inner Ring,Inner West,Other,Bedsitter,240.0,s,292,2018-03-31
9460,Greater Sydney,Inner Ring,Inner West,Other,1 Bedroom,420.0,53,683,2018-03-31
9461,Greater Sydney,Inner Ring,Inner West,Other,Not Specified,570.0,110,2793,2018-03-31
9462,Greater Sydney,Inner Ring,Inner West,Other,2 Bedrooms,585.0,40,955,2018-03-31
9463,Greater Sydney,Inner Ring,Inner West,Other,3 Bedrooms,850.0,s,336,2018-03-31
9464,Greater Sydney,Inner Ring,Inner West,Other,4 or more Bedrooms,,,76,2018-03-31
9465,Greater Sydney,Inner Ring,Inner West,Townhouse,Total,750.0,231,2672,2018-03-31
9466,Greater Sydney,Inner Ring,Inner West,Townhouse,Bedsitter,,,,2018-03-31
9467,Greater Sydney,Inner Ring,Inner West,Townhouse,1 Bedroom,425.0,s,178,2018-03-31
9468,Greater Sydney,Inner Ring,Inner West,Townhouse,Not Specified,,,111,2018-03-31
9469,Greater Sydney,Inner Ring,Inner West,Townhouse,2 Bedrooms,695.0,97,1247,2018-03-31
9470,Greater Sydney,Inner Ring,Inner West,Townhouse,3 Bedrooms,900.0,91,959,2018-03-31
9471,Greater Sydney,Inner Ring,Inner West,Townhouse,4 or more Bedrooms,1065.0,s,173,2018-03-31
9472,Greater Sydney,Inner Ring,Inner West,Flat/Unit,Total,515.0,1701,16217,2018-03-31
9473,Greater Sydney,Inner Ring,Inner West,Flat/Unit,Bedsitter,350.0,64,547,2018-03-31
9474,Greater Sydney,Inner Ring,Inner West,Flat/Unit,1 Bedroom,460.0,651,5357,2018-03-31
9475,Greater Sydney,Inner Ring,Inner West,Flat/Unit,Not Specified,380.0,42,1081,2018-03-31
9476,Greater Sydney,Inner Ring,Inner West,Flat/Unit,2 Bedrooms,550.0,849,8333,2018-03-31
9477,Greater Sydney,Inner Ring,Inner West,Flat/Unit,3 Bedrooms,730.0,88,833,2018-03-31
9478,Greater Sydney,Inner Ring,Inner West,Flat/Unit,4 or more Bedrooms,,,66,2018-03-31
9486,Greater Sydney,Inner Ring,Lane Cove,House,Total,975.0,95,658,2018-03-31
9487,Greater Sydney,Inner Ring,Lane Cove,House,Bedsitter,,,,2018-03-31
9488,Greater Sydney,Inner Ring,Lane Cove,House,1 Bedroom,,,s,2018-03-31
9489,Greater Sydney,Inner Ring,Lane Cove,House,Not Specified,,,60,2018-03-31
9490,Greater Sydney,Inner Ring,Lane Cove,House,2 Bedrooms,600.0,s,79,2018-03-31
9491,Greater Sydney,Inner Ring,Lane Cove,House,3 Bedrooms,877.5,32,247,2018-03-31
9492,Greater Sydney,Inner Ring,Lane Cove,House,4 or more Bedrooms,1300.0,44,247,2018-03-31
9493,Greater Sydney,Inner Ring,Lane Cove,Other,Total,597.5,s,277,2018-03-31
9494,Greater Sydney,Inner Ring,Lane Cove,Other,Bedsitter,,,,2018-03-31
9495,Greater Sydney,Inner Ring,Lane Cove,Other,1 Bedroom,,,32,2018-03-31
9496,Greater Sydney,Inner Ring,Lane Cove,Other,Not Specified,,,101,2018-03-31
9497,Greater Sydney,Inner Ring,Lane Cove,Other,2 Bedrooms,,,103,2018-03-31
9498,Greater Sydney,Inner Ring,Lane Cove,Other,3 Bedrooms,,,s,2018-03-31
9499,Greater Sydney,Inner Ring,Lane Cove,Other,4 or more Bedrooms,,,,2018-03-31
9500,Greater Sydney,Inner Ring,Lane Cove,Townhouse,Total,695.0,s,342,2018-03-31
9501,Greater Sydney,Inner Ring,Lane Cove,Townhouse,1 Bedroom,,,32,2018-03-31
9502,Greater Sydney,Inner Ring,Lane Cove,Townhouse,Not Specified,,,s,2018-03-31
9503,Greater Sydney,Inner Ring,Lane Cove,Townhouse,2 Bedrooms,,,171,2018-03-31
9504,Greater Sydney,Inner Ring,Lane Cove,Townhouse,3 Bedrooms,,,115,2018-03-31
9505,Greater Sydney,Inner Ring,Lane Cove,Townhouse,4 or more Bedrooms,,,s,2018-03-31
9506,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,Total,570.0,413,3254,2018-03-31
9507,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,Bedsitter,,,s,2018-03-31
9508,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,1 Bedroom,535.0,129,744,2018-03-31
9509,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,Not Specified,,,240,2018-03-31
9510,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,2 Bedrooms,580.0,237,1912,2018-03-31
9511,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,3 Bedrooms,750.0,40,327,2018-03-31
9512,Greater Sydney,Inner Ring,Lane Cove,Flat/Unit,4 or more Bedrooms,,,s,2018-03-31
9520,Greater Sydney,Inner Ring,Mosman,House,Total,1775.0,68,450,2018-03-31
9521,Greater Sydney,Inner Ring,Mosman,House,1 Bedroom,,,s,2018-03-31
9522,Greater Sydney,Inner Ring,Mosman,House,Not Specified,,,58,2018-03-31
9523,Greater Sydney,Inner Ring,Mosman,House,2 Bedrooms,,,35,2018-03-31
9524,Greater Sydney,Inner Ring,Mosman,House,3 Bedrooms,1500.0,s,119,2018-03-31
9525,Greater Sydney,Inner Ring,Mosman,House,4 or more Bedrooms,2250.0,36,224,2018-03-31
9526,Greater Sydney,Inner Ring,Mosman,Other,Total,567.5,s,353,2018-03-31
9527,Greater Sydney,Inner Ring,Mosman,Other,Bedsitter,,,,2018-03-31
9528,Greater Sydney,Inner Ring,Mosman,Other,1 Bedroom,,,71,2018-03-31
9529,Greater Sydney,Inner Ring,Mosman,Other,Not Specified,,,132,2018-03-31
9530,Greater Sydney,Inner Ring,Mosman,Other,2 Bedrooms,,,96,2018-03-31
9531,Greater Sydney,Inner Ring,Mosman,Other,3 Bedrooms,,,41,2018-03-31
9532,Greater Sydney,Inner Ring,Mosman,Other,4 or more Bedrooms,,,,2018-03-31
9533,Greater Sydney,Inner Ring,Mosman,Townhouse,Total,1200.0,s,205,2018-03-31
9534,Greater Sydney,Inner Ring,Mosman,Townhouse,1 Bedroom,,,,2018-03-31
9535,Greater Sydney,Inner Ring,Mosman,Townhouse,Not Specified,,,s,2018-03-31
9536,Greater Sydney,Inner Ring,Mosman,Townhouse,2 Bedrooms,,,49,2018-03-31
9537,Greater Sydney,Inner Ring,Mosman,Townhouse,3 Bedrooms,,,118,2018-03-31
9538,Greater Sydney,Inner Ring,Mosman,Townhouse,4 or more Bedrooms,,,s,2018-03-31
9539,Greater Sydney,Inner Ring,Mosman,Flat/Unit,Total,627.5,266,2845,2018-03-31
9540,Greater Sydney,Inner Ring,Mosman,Flat/Unit,Bedsitter,,,s,2018-03-31
9541,Greater Sydney,Inner Ring,Mosman,Flat/Unit,1 Bedroom,495.0,82,973,2018-03-31
9542,Greater Sydney,Inner Ring,Mosman,Flat/Unit,Not Specified,750.0,s,235,2018-03-31
9543,Greater Sydney,Inner Ring,Mosman,Flat/Unit,2 Bedrooms,660.0,142,1360,2018-03-31
9544,Greater Sydney,Inner Ring,Mosman,Flat/Unit,3 Bedrooms,1225.0,s,240,2018-03-31
9545,Greater Sydney,Inner Ring,Mosman,Flat/Unit,4 or more Bedrooms,,,s,2018-03-31
9553,Greater Sydney,Inner Ring,North Sydney,House,Total,1100.0,89,702,2018-03-31
9554,Greater Sydney,Inner Ring,North Sydney,House,Bedsitter,,,,2018-03-31
9555,Greater Sydney,Inner Ring,North Sydney,House,1 Bedroom,,,56,2018-03-31
9556,Greater Sydney,Inner Ring,North Sydney,House,Not Specified,,,78,2018-03-31
9557,Greater Sydney,Inner Ring,North Sydney,House,2 Bedrooms,750.0,s,158,2018-03-31
9558,Greater Sydney,Inner Ring,North Sydney,House,3 Bedrooms,1100.0,s,271,2018-03-31
9559,Greater Sydney,Inner Ring,North Sydney,House,4 or more Bedrooms,1500.0,s,132,2018-03-31
9560,Greater Sydney,Inner Ring,North Sydney,Other,Total,582.5,66,1331,2018-03-31
9561,Greater Sydney,Inner Ring,North Sydney,Other,Bedsitter,,,72,2018-03-31
9562,Greater Sydney,Inner Ring,North Sydney,Other,1 Bedroom,490.0,s,282,2018-03-31
9563,Greater Sydney,Inner Ring,North Sydney,Other,Not Specified,460.0,s,465,2018-03-31
9564,Greater Sydney,Inner Ring,North Sydney,Other,2 Bedrooms,650.0,s,357,2018-03-31
9565,Greater Sydney,Inner Ring,North Sydney,Other,3 Bedrooms,,,131,2018-03-31
9566,Greater Sydney,Inner Ring,North Sydney,Other,4 or more Bedrooms,,,s,2018-03-31
9567,Greater Sydney,Inner Ring,North Sydney,Townhouse,Total,950.0,83,911,2018-03-31
9568,Greater Sydney,Inner Ring,North Sydney,Townhouse,Bedsitter,,,,2018-03-31
9569,Greater Sydney,Inner Ring,North Sydney,Townhouse,1 Bedroom,,,s,2018-03-31
9570,Greater Sydney,Inner Ring,North Sydney,Townhouse,Not Specified,,,66,2018-03-31
9571,Greater Sydney,Inner Ring,North Sydney,Townhouse,2 Bedrooms,800.0,32,293,2018-03-31
9572,Greater Sydney,Inner Ring,North Sydney,Townhouse,3 Bedrooms,1050.0,35,458,2018-03-31
9573,Greater Sydney,Inner Ring,North Sydney,Townhouse,4 or more Bedrooms,,,68,2018-03-31
9574,Greater Sydney,Inner Ring,North Sydney,Flat/Unit,Total,640.0,1463,12620,2018-03-31
9575,Greater Sydney,Inner Ring,North Sydney,Flat/Unit,Bedsitter,450.0,65,458,2018-03-31
9576,Greater Sydney,Inner Ring,North Sydney,Flat/Unit,1 Bedroom,525.0,527,4145,2018-03-31
9577,Greater Sydney,Inner Ring,North Sydney,Flat/Unit,Not Specified,627.5,80,1150,2018-03-31
9578,Greater Sydney,Inner Ring,North Sydney,Flat/Unit,2 Bedrooms,700.0,642,5593,2018-03-31
9579,Greater Sydney,Inner Ring,North Sydney,Flat/Unit,3 Bedrooms,950.0,141,1226,2018-03-31
9580,Greater Sydney,Inner Ring,North Sydney,Flat/Unit,4 or more Bedrooms,,,48,2018-03-31
9588,Greater Sydney,Inner Ring,Randwick,House,Total,1000.0,261,1948,2018-03-31
9589,Greater Sydney,Inner Ring,Randwick,House,Bedsitter,,,,2018-03-31
9590,Greater Sydney,Inner Ring,Randwick,House,1 Bedroom,,,70,2018-03-31
9591,Greater Sydney,Inner Ring,Randwick,House,Not Specified,,,130,2018-03-31
9592,Greater Sydney,Inner Ring,Randwick,House,2 Bedrooms,682.5,42,308,2018-03-31
9593,Greater Sydney,Inner Ring,Randwick,House,3 Bedrooms,900.0,109,773,2018-03-31
9594,Greater Sydney,Inner Ring,Randwick,House,4 or more Bedrooms,1300.0,96,660,2018-03-31
9595,Greater Sydney,Inner Ring,Randwick,Other,Total,500.0,120,2532,2018-03-31
9596,Greater Sydney,Inner Ring,Randwick,Other,Bedsitter,,,75,2018-03-31
9597,Greater Sydney,Inner Ring,Randwick,Other,1 Bedroom,440.0,48,350,2018-03-31
9598,Greater Sydney,Inner Ring,Randwick,Other,Not Specified,630.0,33,992,2018-03-31
9599,Greater Sydney,Inner Ring,Randwick,Other,2 Bedrooms,670.0,s,797,2018-03-31
9600,Greater Sydney,Inner Ring,Randwick,Other,3 Bedrooms,,,243,2018-03-31
9601,Greater Sydney,Inner Ring,Randwick,Other,4 or more Bedrooms,,,75,2018-03-31
9602,Greater Sydney,Inner Ring,Randwick,Townhouse,Total,850.0,91,1173,2018-03-31
9603,Greater Sydney,Inner Ring,Randwick,Townhouse,Bedsitter,,,,2018-03-31
9604,Greater Sydney,Inner Ring,Randwick,Townhouse,1 Bedroom,,,34,2018-03-31
9605,Greater Sydney,Inner Ring,Randwick,Townhouse,Not Specified,,,41,2018-03-31
9606,Greater Sydney,Inner Ring,Randwick,Townhouse,2 Bedrooms,700.0,s,364,2018-03-31
9607,Greater Sydney,Inner Ring,Randwick,Townhouse,3 Bedrooms,905.0,40,603,2018-03-31
9608,Greater Sydney,Inner Ring,Randwick,Townhouse,4 or more Bedrooms,1225.0,s,129,2018-03-31
9609,Greater Sydney,Inner Ring,Randwick,Flat/Unit,Total,630.0,1613,14445,2018-03-31
9610,Greater Sydney,Inner Ring,Randwick,Flat/Unit,Bedsitter,475.0,s,160,2018-03-31
9611,Greater Sydney,Inner Ring,Randwick,Flat/Unit,1 Bedroom,525.0,440,3290,2018-03-31
9612,Greater Sydney,Inner Ring,Randwick,Flat/Unit,Not Specified,580.0,s,779,2018-03-31
9613,Greater Sydney,Inner Ring,Randwick,Flat/Unit,2 Bedrooms,650.0,968,8727,2018-03-31
9614,Greater Sydney,Inner Ring,Randwick,Flat/Unit,3 Bedrooms,900.0,144,1413,2018-03-31
9615,Greater Sydney,Inner Ring,Randwick,Flat/Unit,4 or more Bedrooms,1125.0,s,76,2018-03-31
9623,Greater Sydney,Inner Ring,Sydney,House,Total,810.0,506,2493,2018-03-31
9624,Greater Sydney,Inner Ring,Sydney,House,Bedsitter,500.0,s,68,2018-03-31
9625,Greater Sydney,Inner Ring,Sydney,House,1 Bedroom,580.0,92,332,2018-03-31
9626,Greater Sydney,Inner Ring,Sydney,House,Not Specified,,,113,2018-03-31
9627,Greater Sydney,Inner Ring,Sydney,House,2 Bedrooms,755.0,173,865,2018-03-31
9628,Greater Sydney,Inner Ring,Sydney,House,3 Bedrooms,1000.0,136,762,2018-03-31
9629,Greater Sydney,Inner Ring,Sydney,House,4 or more Bedrooms,1300.0,70,353,2018-03-31
9630,Greater Sydney,Inner Ring,Sydney,Other,Total,469.0,1350,9605,2018-03-31
9631,Greater Sydney,Inner Ring,Sydney,Other,Bedsitter,445.0,185,1091,2018-03-31
9632,Greater Sydney,Inner Ring,Sydney,Other,1 Bedroom,445.0,796,3122,2018-03-31
9633,Greater Sydney,Inner Ring,Sydney,Other,Not Specified,600.0,265,3770,2018-03-31
9634,Greater Sydney,Inner Ring,Sydney,Other,2 Bedrooms,800.0,82,1234,2018-03-31
9635,Greater Sydney,Inner Ring,Sydney,Other,3 Bedrooms,1060.0,s,294,2018-03-31
9636,Greater Sydney,Inner Ring,Sydney,Other,4 or more Bedrooms,,,94,2018-03-31
9637,Greater Sydney,Inner Ring,Sydney,Townhouse,Total,795.0,308,4009,2018-03-31
9638,Greater Sydney,Inner Ring,Sydney,Townhouse,Bedsitter,,,s,2018-03-31
9639,Greater Sydney,Inner Ring,Sydney,Townhouse,1 Bedroom,525.0,53,595,2018-03-31
9640,Greater Sydney,Inner Ring,Sydney,Townhouse,Not Specified,,,180,2018-03-31
9641,Greater Sydney,Inner Ring,Sydney,Townhouse,2 Bedrooms,750.0,133,1760,2018-03-31
9642,Greater Sydney,Inner Ring,Sydney,Townhouse,3 Bedrooms,1005.0,77,1039,2018-03-31
9643,Greater Sydney,Inner Ring,Sydney,Townhouse,4 or more Bedrooms,1300.0,33,419,2018-03-31
